comments,replies,video_publ
524,271,736815
380,250,736815
750,215,736815
894,1000,736815
385,309,736785
484,246,736785
517,218,736785
848,1278,736785
641,462,736754
355,247,736754
434,191,736754
380,196,736754
847,447,736726
583,650,736695
408,243,736695
494,376,736695
434,462,736695
568,1070,736695
1087,2147,736664
623,497,736664
610,366,736664
527,468,736634
542,495,736634
818,1365,736634
550,325,736603
705,531,736603
753,861,736603
303,202,736603
473,844,736603
1012,708,736573
759,601,736573
930,927,736573
356,259,736542
423,300,736542
648,605,736542
413,179,736511
718,1077,736511
765,457,736481
332,432,736481
661,924,736481
364,159,736481
694,657,736450
668,237,736450
615,358,736450
672,262,736450
452,185,736450
566,397,736420
826,669,736420
490,252,736420
871,968,736420
320,248,736389
376,354,736389
639,475,736389
500,219,736389
479,407,736389
2001,1823,736361
568,204,736389
666,394,736361
1045,1116,736330
761,1500,736330
537,407,736330
598,414,736330
371,233,736330
461,591,736330
1044,1446,736330
573,268,736269
605,823,736269
773,914,736269
642,646,736269
868,818,736269
610,499,736269
954,882,736269
768,355,736269
836,748,736269
825,719,736269
973,881,736269
543,324,736269
555,246,736269
539,334,736177
482,360,736269
533,391,736269
836,490,736269
976,1036,736269
3159,1017,736269
771,753,736146
895,1111,736330
920,635,736116
1051,1439,736116
1066,660,736116
1114,573,736116
1457,771,736116
3639,830,736085
